,coef
occ2_constr,-3.780353960073729e-05
occ2_exec,0.0002840440020844317
occ2_farmer,-0.001575767040286491
occ2_finsales,0.0005230175867375344
occ2_mechanic,-0.0001807351039498528
occ2_mgmtrel,0.0004632664025773365
occ2_mining,-0.0010718497509340221
occ2_operator,-0.00022721168624763983
occ2_otheragr,-0.0006901280419458083
occ2_product,-0.00021650661140928262
occ2_prof,0.0003432448149586608
occ2_retsales,0.00019393428140414433
occ2_tech,7.672336381706881e-05
occ2_transp,-0.00011727295508187779
occ3_beauty,0.0002859700746233309
occ3_clean,0.00011921680792610048
occ3_food,0.00010946359826841375
occ3_janitor,-0.00011573656711389132
occ3_others,0.0001486685297127794
occ3_protect,9.16882255304254e-05
occ3_recreation,0.0003250935396961999
occ3_shealth,5.721548733087921e-05
